task,model,representation,split,cutoff,train_seconds,median_inference_ms,model_size_bytes,parameter_count,mae,rmse,r2,within_0_25,recall_enroll,f1_enroll,accuracy,roc_auc_enroll,macro_f1,balanced_accuracy,recall_behind,recall_on_track,recall_ahead,rank
gpa,catboost,aggregated_history,validation,all,1.131516599999486,4.552649999823188,219878,,0.4964885994829051,0.7277405007811016,0.7293304713825031,0.42675,,,,,,,,,,1.0
gpa,xgboost,aggregated_history,validation,all,0.6374037000005046,4.626300000381889,317209,,0.4986543403366481,0.734981247494454,0.7239175545979721,0.43075,,,,,,,,,,2.0
gpa,mlp_adam,aggregated_history,validation,all,1.0144023000002562,4.028950000247278,169594,,0.5088223936357433,0.737625290096097,0.7219276078777259,0.40975,,,,,,,,,,3.0
gpa,hist_gradient_boosting,aggregated_history,validation,all,2.444759899999553,8.600249999744847,667898,,0.4965670037617529,0.7411373351600373,0.7192733395712227,0.446,,,,,,,,,,4.0
gpa,gru,raw_sequence,validation,all,17.67012059999979,0.8862499998940621,50303,11525.0,0.512700080871582,0.74664354289244,0.7150865793228149,0.41625,,,,,,,,,,5.0
gpa,linear,aggregated_history,validation,all,0.083631499999683,4.071299999850453,10458,,0.6028836410200503,0.7749997572368492,0.6930346121696208,0.284,,,,,,,,,,6.0
gpa,dummy,aggregated_history,validation,all,0.1013064999997368,3.758700000616954,7994,,1.29891232,1.4037958387172973,-0.0071500471833578,0.004,,,,,,,,,,7.0
