task,model,representation,split,cutoff,train_seconds,median_inference_ms,model_size_bytes,parameter_count,mae,rmse,r2,within_0_25,recall_enroll,f1_enroll,accuracy,roc_auc_enroll,macro_f1,balanced_accuracy,recall_behind,recall_on_track,recall_ahead,rank
pace,xgboost,aggregated_history,validation,all,1.7091760000002978,5.417749999651278,877375,,,,,,,,0.8015,,0.769184219530703,0.7427905711863461,0.6267123287671232,0.8855421686746988,0.7161172161172161,1.0
pace,catboost,aggregated_history,validation,all,1.365734699999848,4.339049999998679,405829,,,,,,,,0.77675,,0.7688008673377854,0.8079788671470466,0.8527397260273972,0.7250430292598967,0.8461538461538461,2.0
pace,linear,aggregated_history,validation,all,0.5869353999996747,3.556500000286178,11882,,,,,,,,0.77075,,0.7600145979469568,0.8012214697517552,0.8407534246575342,0.7185886402753873,0.8443223443223443,3.0
pace,gru,raw_sequence,validation,all,17.67012059999979,0.8862499998940621,50303,11525.0,,,,,,,0.79475,,0.7599255466938718,0.7339346094297406,0.6352739726027398,0.8907056798623064,0.6758241758241759,4.0
pace,hist_gradient_boosting,aggregated_history,validation,all,2.475374499999816,16.04399999996531,1825322,,,,,,,,0.78725,,0.7523064034408714,0.7263541848663156,0.6078767123287672,0.8752151462994836,0.6959706959706959,5.0
pace,mlp_adam,aggregated_history,validation,all,2.1994831000001795,5.013299999973242,172170,,,,,,,,0.775,,0.7412986638236978,0.7222388223172181,0.6078767123287672,0.8463855421686747,0.7124542124542125,6.0
pace,dummy,aggregated_history,validation,all,0.060288099999525,3.4670500003812776,8170,,,,,,,,0.581,,0.2449926207041956,0.3333333333333333,0.0,1.0,0.0,7.0
