task,model,representation,split,cutoff,train_seconds,median_inference_ms,model_size_bytes,parameter_count,mae,rmse,r2,within_0_25,recall_enroll,f1_enroll,accuracy,roc_auc_enroll,macro_f1,balanced_accuracy,recall_behind,recall_on_track,recall_ahead,rank
outcome,gru,raw_sequence,validation,all,17.67012059999979,0.8862499998940621,50303,11525.0,,,,,0.814540059347181,0.8258743888679955,0.88425,0.9451867970424874,,,,,,1.0
outcome,xgboost,aggregated_history,validation,all,0.3544577000002391,5.3366500001175154,298267,,,,,,0.8048961424332344,0.8257229832572298,0.8855,0.9487103960506824,,,,,,2.0
outcome,linear,aggregated_history,validation,all,0.1398411999998643,3.866800000196236,10810,,,,,,0.8605341246290801,0.8247422680412371,0.87675,0.9489904041963738,,,,,,3.0
outcome,catboost,aggregated_history,validation,all,1.3650397000001249,4.362150000360998,220946,,,,,,0.8501483679525222,0.8209169054441261,0.875,0.9482012903312432,,,,,,4.0
outcome,hist_gradient_boosting,aggregated_history,validation,all,1.1354019000000335,8.645549999982904,667994,,,,,,0.7997032640949555,0.8203957382039574,0.882,0.9456789791926814,,,,,,5.0
outcome,mlp_adam,aggregated_history,validation,all,3.014381599999979,3.918449999673612,170186,,,,,,0.7937685459940653,0.8183556405353728,0.88125,0.9432993295469296,,,,,,6.0
outcome,dummy,aggregated_history,validation,all,0.0600975000006656,3.3917499995368416,8146,,,,,,0.0,0.0,0.663,0.5,,,,,,7.0
