epoch,train_loss,validation_objective
1.0,3.133314000799301,1.5132859195224353
2.0,1.4808532963407801,1.223599780134119
3.0,1.3095221899925393,1.1964674226142291
4.0,1.269491989561852,1.188913949161136
5.0,1.247558020530863,1.1810836023262488
6.0,1.2264119031581473,1.1812239325205418
7.0,1.2145354773135895,1.1842280819249287
8.0,1.1994939763495263,1.1853280116963587
9.0,1.181359476231514,1.1803641289616862
10.0,1.1700693546457495,1.1698932247931646
11.0,1.1645916751090517,1.1742327332521105
12.0,1.16041507112219,1.1685369536679144
13.0,1.1465584724507434,1.1608436073305728
14.0,1.1378765258383243,1.164639240956989
15.0,1.1309542199398608,1.1676092256054886
16.0,1.1242654501123632,1.1671804213633243
17.0,1.1152636320032971,1.1647504418202719
18.0,1.1060596412800727,1.1642677359507505
